ANNOT	NSNP	STD	TAU1	TAU1_SE	TAU2	TAU2_SE	THETA	THETA_SE	HSQ1	HSQ1_SE	HSQ2	HSQ2_SE	GCOV	GCOV_SE	GCORSQ	GCORSQ_SE	HSQ1_ENRICHMENT	HSQ1_ENRICHMENT_SE	HSQ2_ENRICHMENT	HSQ2_ENRICHMENT_SE	GCOV_ENRICHMENT	GCOV_ENRICHMENT_SE	GCORSQ_ENRICHMENT	GCORSQ_ENRICHMENT_SE	GCORSQ_ENRICHMENT_P	GCOVSQ_DIFF	GCOVSQ_DIFF_SE	GCOVSQ_DIFF_P
H3K4me1_peaks_Trynka.bed	177694.0	0.380747	1.750268978639724e-07	5.077598643765668e-07	2.0445861537154997e-07	4.994528808310861e-07	2.6138209818782343e-07	4.0519796584703727e-07	0.08086779738684455	0.05224018605593623	0.09516977331133208	0.05318601217653313	0.08896834665715105	0.04163637660296526	0.5364697111738554	0.1360558806277368	2.268666600065118	1.438278351792032	2.362333191450748	1.31107903757615	3.3541269213331457	1.5453073314482497	1.0669545665892919	0.10564018008820379	0.5291600982289095	0.0022733320479579886	0.006907493273924826	0.7434743922873692
H3K4me1_Trynka.bed	444005.0	0.49432117	-6.630070288338175e-07	3.5165646750101587e-07	3.17011370043474e-07	3.430777155699616e-07	-1.9603855605510034e-07	3.124953309452394e-07	0.11250194431198295	0.03980306147684277	0.19224592666396456	0.040006402020309605	0.1255483900689099	0.03592859364679414	0.5317791155766205	0.1340616253505429	1.2251101662717465	0.41388321806750483	1.965046995096758	0.3876120403012607	1.889336484371536	0.4989147928489571	1.0576257036763368	0.09441987632138553	0.5444746970157337	0.0038355094866375714	0.007324069810600704	0.6028579132531142
H3K4me1_Trynka.extend.500.bed	631846.0	0.4845146	7.793054805915745e-07	2.3507374180553597e-07	2.9929542177953294e-10	2.685018785086868e-07	2.1169547892441187e-07	2.1882880218981882e-07	0.23416727844177898	0.031074523991914377	0.2016554290021046	0.026542767475170783	0.16403600350438385	0.023078950086218068	0.5320751814195067	0.12207027233676228	1.8036557036115	0.19893813084559048	1.470277238691	0.18647378782823287	1.740795282728101	0.21861176945980298	1.0582145324517533	0.13235919572089502	0.6619996592193806	0.0025925038105179404	0.00770725340121854	0.7380267125218651
H3K4me3_peaks_Trynka.bed	38867.0	0.19232954	4.7630624067096505e-07	8.680876817379612e-07	-2.0949216832377715e-06	9.9071610293322e-07	-4.665154733629606e-07	6.418966336241283e-07	0.041353641729038035	0.022717953263917783	-0.025915630863724635	0.027078420532221547	0.009049693644684956	0.018579230861038618	0.5274896264979226	0.18618356040007486	5.258349411396227	3.005712935411916	-2.8286399554394355	3.215713126490848	1.5045432358935125	3.180770515350614	1.049094579056389	0.275605282879081	0.8593524237844234	0.0002487461587976474	0.0007158653158508443	0.7297217540195309
H3K4me3_Trynka.bed	125928.0	0.32986087	7.755670594633557e-08	6.515834343190363e-07	2.9615625862788875e-07	6.405196586456441e-07	1.2664121129546402e-07	4.3346645384190197e-07	0.0783358599362179	0.03395593977121091	0.06257397553737012	0.034295451074368474	0.0638506968741786	0.021332596188915	0.5644955110643785	0.1655892031538102	3.2484256229806956	1.4117487752125684	2.2595266718081293	1.2495047716658356	3.36658740462628	1.082727139238484	1.1226935105644917	0.16695116447782557	0.4658992221617746	0.0011087877298170162	0.0023313125044628195	0.6364681639422649
H3K4me3_Trynka.extend.500.bed	245760.0	0.430707	-2.5098552214330994e-07	3.25445483895237e-07	2.707822659431258e-07	3.492946234473493e-07	3.8715409544920476e-08	2.7401409852245706e-07	0.09040266785110682	0.03028585695410909	0.12122725389259886	0.03507509587697215	0.09842799669319875	0.023468826802304266	0.590701924232268	0.14718272195828389	1.8407974861123642	0.6211036027604103	2.2587194812325344	0.5924602842602305	2.6673050555582014	0.6401002200889613	1.1748139781715512	0.17643083086958172	0.32663360256928153	0.003656496697461535	0.004499584411321797	0.42036106930711004
H3K9ac_peaks_Trynka.bed	37724.0	0.18938923	-1.1059516964451177e-06	1.1143824849568773e-06	1.3450320466290577e-06	1.0602775546431076e-06	-6.260646614464349e-07	9.75735474639805e-07	0.008245413106283694	0.02883514137228793	0.04142980113402982	0.029824787453035836	0.004027221920437513	0.026438322984562685	0.46731194971167167	0.12323192257261201	1.2341791421244108	3.7542498999374874	4.989822844120764	3.664556655488821	0.3427173254218563	4.7308764280682105	0.9294105676080388	0.1343388493100332	0.6016346661354435	-0.0007747544819211254	0.0005755787949602629	0.1844830118265104
H3K9ac_Trynka.bed	126212.0	0.3301601	1.8858192163406784e-07	7.162643100855348e-07	-8.536928817193257e-07	6.156898848530545e-07	-1.5283113441455498e-07	5.513506948773284e-07	0.08451783477467029	0.03228175973872393	0.04820618281697672	0.029275201827674655	0.06253068422886128	0.02873545128429696	0.5486394570081118	0.13305326135590323	3.3116155646009533	1.293716852513669	1.7475039267023615	1.0828139293165486	3.2527879654908247	1.476037439488385	1.0911582925809775	0.1289442975220751	0.48294077760265974	0.0011650469945164502	0.0030045037353513726	0.6998679910892474
H3K9ac_Trynka.extend.500.bed	231138.0	0.4186139	3.1324603355642466e-07	4.971342377757537e-07	4.615025090970448e-07	3.943403612538532e-07	5.219892500463175e-07	3.180334431363008e-07	0.1264812681575765	0.032231214833651656	0.12698567922565404	0.02722261424090376	0.12481002507187276	0.024134610913245248	0.6172684947593251	0.15696340467786085	2.6986970410056994	0.7407086114503129	2.5315565963340982	0.4870593525670785	3.6162021721708424	0.667419131283313	1.227650742581675	0.1373622527206783	0.10384836207300507	0.006950210396977508	0.005051279399195626	0.17509974826582098
Intron_UCSC.bed	405304.0	0.48797637	-1.7377734593537753e-06	1.7236089888683637e-06	3.7560423606919358e-06	1.6059181007221923e-06	-5.4618727318711535e-08	1.423736421202193e-06	0.09561738266083307	0.017109681332611024	0.11601379470266189	0.0167965781165911	0.0685769917284655	0.015130797751593402	0.4565891486016312	0.1494734793911876	1.1519734106229247	0.17507537559007702	1.309724553710258	0.1632893519103007	1.1396140646986441	0.20554134054017778	0.9080845889503568	0.14486868761872942	0.5287228602391738	-0.0011189222448817109	0.0017671579201009393	0.5295628730868933
Intron_UCSC.extend.500.bed	413786.0	0.49146694	1.6910138356251991e-06	1.7319046037300723e-06	-3.7651298043783754e-06	1.5926150354061974e-06	4.3283531425686306e-08	1.41945781706454e-06	0.11695014952597638	0.016345956858676722	0.10653037115959939	0.013795524347526717	0.07812572405200602	0.011980910542674729	0.49241335938455555	0.14205980093183618	1.3886249496514862	0.1597425871855966	1.18915607461342	0.12541764128580446	1.2717697767742184	0.14556655118122017	0.979333355643378	0.14830986954458272	0.8897465437240291	-0.00028609088783405987	0.001676511779647938	0.8652044136322377
PromoterFlanking_Hoffman.bed	8548.0	0.091133386	-7.086566711222986e-07	2.0526526895991992e-06	2.599786284918082e-06	1.8569613757790648e-06	-2.2667657972874622e-08	1.4348848935696878e-06	-0.0035986054715747597	0.012914949631600498	0.023022832593040683	0.011777546281943684	0.0011108217923754308	0.00803325313763591	0.32501962560536907	0.21621703338604137	-2.1490034960569298	7.449712210247535	11.661641512514379	6.559382484495379	0.584150640082662	6.3249166841254425	0.6464133324731318	0.38832354185930734	0.36699194818847936	-4.639460065623309e-05	0.00014905977708688968	0.7569322279898412
PromoterFlanking_Hoffman.extend.500.bed	33096.0	0.17890571	-4.2295476987419534e-07	8.48691286137182e-07	-8.561750064473017e-07	7.525402452301932e-07	-7.777795758556749e-07	7.142679123717244e-07	0.006097011903844483	0.016411009961993118	0.02118065406497517	0.01569707855491662	0.0016049933285040867	0.011204651646144355	0.3631426378174082	0.1567432334141423	1.0352623424272758	2.445383007353854	2.8400702163524194	2.1201607841804346	0.41162457304242533	2.274600349221192	0.7222340565970938	0.29675297007211765	0.3538546607648154	-0.0001863231559865542	0.0001797026206225563	0.3048994851559541
Promoter_UCSC.bed	27992.0	0.16297431	-3.2047708486970805e-08	2.259846723973169e-06	-3.520834980008658e-06	2.4021817353059305e-06	3.33339897906626e-07	1.5736520708742319e-06	0.021640414507724307	0.01581700595651896	0.009228646195788013	0.016375156945308875	0.013251160635753125	0.010424736260095333	0.4995350616828683	0.2371131689463371	3.9095048962399677	2.8412496968202823	1.3096308129636636	2.7138637652591107	3.201780776603273	2.5201064333961254	0.9934973105336696	0.41855760736946757	0.9876676916402909	-3.9405309382279676e-05	0.0002960293892738325	0.8946493214164781
Promoter_UCSC.extend.500.bed	34780.0	0.18288475	-8.564040854253108e-08	1.738535615913861e-06	3.1187257718556793e-06	1.8985441556651494e-06	-4.643139845939004e-07	1.379483819619054e-06	0.02386427076146712	0.010644152996427984	0.03433059517235785	0.010689355737651163	0.012597884823919102	0.010854117976763257	0.3737991540848938	0.17205660280522045	3.4283496843962213	1.5098499763608428	4.408389714179617	1.496298081585494	2.4806551755954755	2.079104567429729	0.7434282050433276	0.2766442392414778	0.3582424830915789	-0.0003687853715367708	0.0003419414249078689	0.2860893460483649
Repressed_Hoffman.bed	470839.0	0.49866205	1.194836016793488e-07	2.8859315648332995e-07	4.083740066107566e-07	2.628683262173581e-07	1.6651894441110926e-07	2.0380247178763966e-07	0.11531950568213908	0.04612001113607457	0.13509104167355576	0.03902389696180504	0.08063145467347312	0.02702328044065846	0.4756363222767175	0.13011188861631717	1.1887783451622678	0.4583274584475565	1.3138081168157132	0.3715542658287853	1.1689414127766549	0.38510038262801644	0.9459664460430617	0.1530198427219748	0.725517089238469	-0.0019129020699215809	0.0053572886039394245	0.7225761225247758
Repressed_Hoffman.extend.500.bed	738888.0	0.445374	-4.6737534376006806e-07	2.7349631182005396e-07	-1.4930542135971336e-07	2.1380223813594057e-07	-3.324272768168157e-07	1.6078467979241395e-07	0.06163772593104692	0.026542430309120426	0.10758015165328252	0.025079656812907188	0.043692827847654755	0.014155526350860459	0.3930991931224987	0.14566919290097294	0.40395662100904134	0.15409853842157675	0.6607880225578984	0.11435400665791294	0.4017261674725565	0.12215298920646889	0.7818129718952455	0.1560951391121615	0.16847468644587238	-0.0015895230421733063	0.0015190868156280508	0.30052575564199646
SuperEnhancer_Hnisz.bed	175016.0	0.37941587	-1.1495112630655058e-06	3.021627890120726e-06	-2.468987759129959e-06	3.182677573931869e-06	3.3139055943820495e-08	2.394388047832763e-06	0.08737108224585155	0.013042311096716299	0.08191931060089293	0.014702225202084994	0.062152276796831024	0.010303511980535505	0.5249769823570728	0.1202925272385296	2.4669196660900043	0.33170646015829275	2.134335766333808	0.347210497464802	2.4003160348771173	0.36850685590910115	1.044097321831135	0.16445052621880601	0.7897099215668839	0.0001286943353930813	0.0010249444048956058	0.9005922033171847
SuperEnhancer_Hnisz.extend.500.bed	178161.0	0.38078225	1.284323957406741e-06	2.987951575050829e-06	2.6425848318467615e-06	3.1520071388513315e-06	7.735844320677643e-08	2.3805816908861743e-06	0.09043567637928479	0.011309333111164102	0.09117995232816495	0.012135866295121114	0.06309565459132853	0.00821074328902697	0.49353192804373947	0.10529366908509205	2.5038958511446405	0.25373021817309066	2.331684836381209	0.2710974278485907	2.3852307846513257	0.2905898706056641	0.9815580142104917	0.16119620818936573	0.909382624591422	-0.00022454951230217648	0.0009662532941275505	0.8172015011746108
TFBS_ENCODE.bed	133628.0	0.33629826	-7.731851070502671e-08	6.677690294054628e-07	-1.0663829641543998e-07	7.31844409074256e-07	-1.0299556407744603e-07	5.22792333867983e-07	0.06652881236597524	0.047003890983351455	0.03492004205158222	0.04729049746577223	0.05104491090371131	0.04156708078829185	0.5190181848477446	0.15211330434533107	2.4879042208442685	1.8309488082723153	1.2491782251221002	1.6191691965443005	2.533467354445536	2.008207843970431	1.0322462031537223	0.11616220138321591	0.7824901232411603	-0.0001150821011215704	0.004367750740590849	0.9790866747885962
TFBS_ENCODE.extend.500.bed	353518.0	0.47764304	1.9571200482459972e-07	3.254053240198118e-07	-6.291875109809553e-08	3.5187071034670225e-07	2.2939849131375922e-08	2.529553739805124e-07	0.1416054803457578	0.03642905352673249	0.09327578996686255	0.040320068475420245	0.10731562023941404	0.030183950964095513	0.5498864389171333	0.1610367552495591	1.9176790639453638	0.48891274057533995	1.1918906797378381	0.4891547335511137	2.01237463909617	0.5457883084849502	1.0936383450696325	0.1477110601500019	0.529075415605738	0.004009048778979619	0.006686064348157	0.5515271459507747
Transcribed_Hoffman.bed	354608.0	0.47785014	-5.745698103964969e-07	3.320327550682123e-07	-2.7225114607176693e-08	3.0116802918200847e-07	-3.115075344339857e-07	2.051963008398161e-07	0.0018539557684843291	0.042106965372013645	0.04997609846899814	0.03377772283040165	0.00791757035177039	0.027991768843759684	0.4617082076541291	0.15924306784446088	-0.0075974978935222995	0.5798879296784667	0.6221483012628759	0.4355330855751145	0.12608838294890584	0.5276804020006114	0.9182655988358019	0.16297191467250402	0.6182480189564474	-0.0006737427377346642	0.00099506713084659	0.5015377168526767
Transcribed_Hoffman.extend.500.bed	786865.0	0.41602737	3.658127525341115e-07	1.7744122260410222e-07	6.353566561756452e-08	2.1875034406093619e-07	2.0417219559476507e-07	1.1845082070749413e-07	0.17249381382776574	0.028307062394713534	0.16672007796719562	0.028433499659610534	0.12048288110473965	0.017788581168879984	0.5109640681651175	0.12083384164090992	1.0719720791354892	0.1181442788689151	0.976021751936512	0.1547590427330317	1.017246159910123	0.12604376086427282	1.0162278215090834	0.12037553451293208	0.8933143705896378	-0.00029616867159192733	0.003646055672787067	0.935590023649649
TSS_Hoffman.bed	16467.0	0.12596475	1.8822415768227074e-06	2.147704435628839e-06	-1.7766742530511692e-06	2.5686085791676305e-06	-9.845756494542002e-07	1.7953868791664718e-06	0.03881009930433085	0.015142090779334556	0.007075360924347284	0.018765497236350168	0.01364458598076541	0.014446246881549298	0.46539027435963937	0.17613967085774027	11.810563436247351	4.697001576440261	2.2150606572004214	5.182788535250097	5.833260632516877	5.853179053151781	0.9255886551129855	0.2163039917848269	0.7323085958254305	-0.00012294801011479212	0.00035637996849526796	0.7315773889753414
